model,dataset,temperature,signal,correlation,p_value,n
llama,gsm8k,0.7,entropy_mean,-0.2109254121020273,1.2822687804383998e-09,812
llama,gsm8k,0.7,surprisal_mean,-0.19937102011166877,1.0038977713523539e-08,812
llama,gsm8k,0.7,margin_mean,0.19225416235935738,3.360245146473141e-08,812
llama,gsm8k,0.7,risk_score,0.050484526759788526,0.1506361762677949,812
llama,gsm8k,0.8,entropy_mean,-0.21246986613191446,6.452469056003664e-10,829
llama,gsm8k,0.8,surprisal_mean,-0.20912012686401743,1.2069641023124856e-09,829
llama,gsm8k,0.8,margin_mean,0.19407146983983647,1.771176559287816e-08,829
llama,gsm8k,0.8,risk_score,0.014073592450022033,0.6857564427110634,829
llama,humaneval,0.7,entropy_mean,0.09201209660535158,0.008379073285365267,820
llama,humaneval,0.7,surprisal_mean,0.08915098925049172,0.010646612336419494,820
llama,humaneval,0.7,margin_mean,-0.07126354934653077,0.041334505041625134,820
llama,humaneval,0.7,risk_score,0.0003939453989236666,0.9910130805517604,820
llama,humaneval,0.8,entropy_mean,0.07466792870777228,0.03252588273039478,820
llama,humaneval,0.8,surprisal_mean,0.06608999252526641,0.05852950507749009,820
llama,humaneval,0.8,margin_mean,-0.058893568335838246,0.09192192406267961,820
llama,humaneval,0.8,risk_score,-0.015517193631719132,0.6572640608327365,820
mistral7b,gsm8k,0.7,entropy_mean,-0.2557637446124154,1.1482415607630492e-05,287
mistral7b,gsm8k,0.7,surprisal_mean,-0.23670733566170737,5.115559729405368e-05,287
mistral7b,gsm8k,0.7,margin_mean,0.2531077710850813,1.4243039709997554e-05,287
mistral7b,gsm8k,0.7,risk_score,-0.02166919892373949,0.7147080863551375,287
mistral7b,gsm8k,0.8,entropy_mean,-0.22512107805212503,0.0002024208543847477,268
mistral7b,gsm8k,0.8,surprisal_mean,-0.15887416163476561,0.009179573668259616,268
mistral7b,gsm8k,0.8,margin_mean,0.23438849754792787,0.00010738816562717014,268
mistral7b,gsm8k,0.8,risk_score,0.05637599014653574,0.3579218411790722,268
mistral7b,humaneval,0.7,entropy_mean,-0.0370644628670613,0.28909460650242147,820
mistral7b,humaneval,0.7,surprisal_mean,0.012401607980474197,0.7228893431983192,820
mistral7b,humaneval,0.7,margin_mean,0.024545696390136765,0.48273197862767614,820
mistral7b,humaneval,0.7,risk_score,-0.02256121695468989,0.518828999053756,820
mistral7b,humaneval,0.8,entropy_mean,0.045856113131151746,0.18958551960705528,820
mistral7b,humaneval,0.8,surprisal_mean,0.07914293086295716,0.023426455976166743,820
mistral7b,humaneval,0.8,margin_mean,-0.04261852444234132,0.22280584009864046,820
mistral7b,humaneval,0.8,risk_score,0.017008099781642343,0.6267331562960828,820
mixtral,gsm8k,0.7,entropy_mean,-0.2268753201048411,9.133090653019051e-06,375
mixtral,gsm8k,0.7,surprisal_mean,-0.21288714314752452,3.231290831198002e-05,375
mixtral,gsm8k,0.7,margin_mean,0.2140154231046086,2.9269796831151287e-05,375
mixtral,gsm8k,0.7,risk_score,0.022328027386127176,0.6664751737282727,375
mixtral,gsm8k,0.8,entropy_mean,-0.25087043047470536,6.580970767268248e-07,383
mixtral,gsm8k,0.8,surprisal_mean,-0.2286324846679307,6.189625647600317e-06,383
mixtral,gsm8k,0.8,margin_mean,0.2331486688051269,3.9957645416610575e-06,383
mixtral,gsm8k,0.8,risk_score,0.12109773575118853,0.017744132605145475,383
mixtral,humaneval,0.7,entropy_mean,0.06165737472751682,0.07947189523638838,810
mixtral,humaneval,0.7,surprisal_mean,0.06936841137932165,0.04842854813517031,810
mixtral,humaneval,0.7,margin_mean,-0.07318776280622052,0.03729345381034939,810
mixtral,humaneval,0.7,risk_score,-0.07880396748521197,0.024908077641955857,810
mixtral,humaneval,0.8,entropy_mean,0.04781447900343627,0.1739881933000151,810
mixtral,humaneval,0.8,surprisal_mean,0.05979696552485332,0.08899081197679493,810
mixtral,humaneval,0.8,margin_mean,-0.03229778015244333,0.35860268785658406,810
mixtral,humaneval,0.8,risk_score,-0.0050920172857388145,0.8849489333050724,810
qwen,gsm8k,0.7,entropy_mean,-0.07752414164560387,0.01679491670288772,951
qwen,gsm8k,0.7,surprisal_mean,-0.07652460985207349,0.018262827133715378,951
qwen,gsm8k,0.7,margin_mean,0.04953093236585378,0.12691595949750775,951
qwen,gsm8k,0.7,risk_score,-0.019857607924945994,0.540782888326135,951
qwen,gsm8k,0.8,entropy_mean,-0.08179980055107662,0.011316432730945482,958
qwen,gsm8k,0.8,surprisal_mean,-0.10161931146825225,0.00163646955620876,958
qwen,gsm8k,0.8,margin_mean,0.056237937769111825,0.08190166810366,958
qwen,gsm8k,0.8,risk_score,0.0027117811221286934,0.9331959936454306,958
qwen,humaneval,0.7,entropy_mean,-0.19447380018180727,1.976206975300332e-08,820
qwen,humaneval,0.7,surprisal_mean,-0.21197707163522223,8.752574941652927e-10,820
qwen,humaneval,0.7,margin_mean,0.1872047777774134,6.650580506405993e-08,820
qwen,humaneval,0.7,risk_score,-0.05367885892650471,0.12456506777209427,820
qwen,humaneval,0.8,entropy_mean,-0.20837838146653123,1.6995229524112456e-09,820
qwen,humaneval,0.8,surprisal_mean,-0.20739773760274643,2.0322064149552713e-09,820
qwen,humaneval,0.8,margin_mean,0.20041670362186761,7.07471759975737e-09,820
qwen,humaneval,0.8,risk_score,0.02015158379600834,0.5644585255555342,820
