model,dataset,signal,spearman_rho,p_value,n_prompts
llama,gsm8k,prompt_surprisal_mean,0.11083851678946263,0.11817345033167133,200
llama,gsm8k,prompt_surprisal_max,-0.026605308783894086,0.7084313169498886,200
llama,gsm8k,prompt_surprisal_std,-0.1524649146874863,0.03113985818157716,200
llama,gsm8k,prompt_surprisal_p90,-0.010213457451817266,0.8858649185351982,200
llama,gsm8k,prompt_token_count,0.13034968878252653,0.0658085631615076,200
llama,gsm8k,basin_score_min,0.1607129159289125,0.023003556428051856,200
llama,gsm8k,basin_score_mean,0.12473350768457785,0.07843823345308894,200
llama,gsm8k,basin_score_std,0.14943554684060228,0.034689491865233936,200
llama,gsm8k,layer_transform_mean,-0.04242992382667164,0.5508029615290896,200
llama,gsm8k,layer_transform_std,-0.007246752534068093,0.9188808850002886,200
llama,gsm8k,layer_transform_max,0.023638314863672016,0.7397025266053022,200
llama,humaneval,prompt_surprisal_mean,0.14930520634506253,0.05637516915032106,164
llama,humaneval,prompt_surprisal_max,0.24199369282783142,0.0017971102422018523,164
llama,humaneval,prompt_surprisal_std,0.05613581394014788,0.4752557623346033,164
llama,humaneval,prompt_surprisal_p90,0.06922628250437253,0.3784231873665237,164
llama,humaneval,prompt_token_count,0.180231150916061,0.020922762692289983,164
llama,humaneval,basin_score_min,0.02302591028585677,0.7697828964700287,164
llama,humaneval,basin_score_mean,0.09730444846234945,0.2151539751546564,164
llama,humaneval,basin_score_std,0.058760746978261474,0.4548251171224819,164
llama,humaneval,layer_transform_mean,0.07666473266657248,0.3292057324374535,164
llama,humaneval,layer_transform_std,0.2063985258228235,0.00801144858077199,164
llama,humaneval,layer_transform_max,0.11822320872908795,0.13162926657988347,164
mistral7b,gsm8k,prompt_surprisal_mean,0.09831027093186076,0.1660647397076443,200
mistral7b,gsm8k,prompt_surprisal_max,0.02976449612161389,0.6756635819389334,200
mistral7b,gsm8k,prompt_surprisal_std,-0.06818330531924482,0.33739228275918737,200
mistral7b,gsm8k,prompt_surprisal_p90,0.017361475367021942,0.8072248184274537,200
mistral7b,gsm8k,prompt_token_count,0.13922143041827317,0.049283261219070895,200
mistral7b,gsm8k,basin_score_min,-0.19287363096715396,0.006213657451486578,200
mistral7b,gsm8k,basin_score_mean,-0.17380491124299025,0.013842362670111118,200
mistral7b,gsm8k,basin_score_std,0.04267999311100788,0.5484552748279496,200
mistral7b,gsm8k,layer_transform_mean,-0.13934566424498168,0.049079005842401595,200
mistral7b,gsm8k,layer_transform_std,-0.2626050397819558,0.0001721928008256874,200
mistral7b,gsm8k,layer_transform_max,-0.1894023257645026,0.007228684472490141,200
mistral7b,humaneval,prompt_surprisal_mean,0.17595942478210344,0.024211352275427773,164
mistral7b,humaneval,prompt_surprisal_max,-0.1556370551013322,0.0465881545899903,164
mistral7b,humaneval,prompt_surprisal_std,0.08902749702221119,0.2569454222295562,164
mistral7b,humaneval,prompt_surprisal_p90,0.1687247865129097,0.030794914052826815,164
mistral7b,humaneval,prompt_token_count,0.19045087794813098,0.01457757736201187,164
mistral7b,humaneval,basin_score_min,0.02908285878540071,0.7116270528750481,164
mistral7b,humaneval,basin_score_mean,0.08316072380675042,0.28975189100911763,164
mistral7b,humaneval,basin_score_std,0.03521158221319444,0.6544288681727878,164
mistral7b,humaneval,layer_transform_mean,-0.041751345035091834,0.5955435231323427,164
mistral7b,humaneval,layer_transform_std,0.031552543194458715,0.6883620001848073,164
mistral7b,humaneval,layer_transform_max,-0.0036234745273386717,0.9632717240435477,164
mixtral,gsm8k,prompt_surprisal_mean,0.07833551749624655,0.2702083851397305,200
mixtral,gsm8k,prompt_surprisal_max,-0.07482324436773112,0.29233883471169114,200
mixtral,gsm8k,prompt_surprisal_std,-0.09165602490031909,0.19677096497738497,200
mixtral,gsm8k,prompt_surprisal_p90,-0.07519726062164855,0.2899263292278683,200
mixtral,gsm8k,prompt_token_count,0.13922143041827317,0.049283261219070895,200
mixtral,gsm8k,basin_score_min,0.1074033737190499,0.13008301842940134,200
mixtral,gsm8k,basin_score_mean,0.07210180839932434,0.3102949249563574,200
mixtral,gsm8k,basin_score_std,0.06253083834267172,0.37905553218859683,200
mixtral,gsm8k,layer_transform_mean,-0.1793777765855104,0.011036771876286527,200
mixtral,gsm8k,layer_transform_std,-0.15994746828846607,0.02367233346604722,200
mixtral,gsm8k,layer_transform_max,-0.11785097017424272,0.09650986477762777,200
mixtral,humaneval,prompt_surprisal_mean,0.17854806862873981,0.02301132544986306,162
mixtral,humaneval,prompt_surprisal_max,-0.040839193294971446,0.6058625681721319,162
mixtral,humaneval,prompt_surprisal_std,0.08722139066995299,0.2697426827264527,162
mixtral,humaneval,prompt_surprisal_p90,0.18693318532065803,0.017224411077129194,162
mixtral,humaneval,prompt_token_count,0.19579915931287295,0.012523597940971163,162
mixtral,humaneval,basin_score_min,0.058121314430715956,0.46254872617543796,162
mixtral,humaneval,basin_score_mean,0.0986205516762449,0.21182576797471706,162
mixtral,humaneval,basin_score_std,0.013720713029980888,0.8624219022812167,162
mixtral,humaneval,layer_transform_mean,-0.04291039831560576,0.5876939628642426,162
mixtral,humaneval,layer_transform_std,-0.14813375046020322,0.05994101325822243,162
mixtral,humaneval,layer_transform_max,-0.13932301960859972,0.07702830875927687,162
qwen,gsm8k,prompt_surprisal_mean,0.14119527579849564,0.04612049366835966,200
qwen,gsm8k,prompt_surprisal_max,-0.09919127399225952,0.1622835719356926,200
qwen,gsm8k,prompt_surprisal_std,-0.04250276683141824,0.5501185946129772,200
qwen,gsm8k,prompt_surprisal_p90,0.05079617096051877,0.4750262983981544,200
qwen,gsm8k,prompt_token_count,0.1625667457153419,0.021450970394149803,200
qwen,gsm8k,basin_score_min,-0.030433611932312008,0.6687984534062993,200
qwen,gsm8k,basin_score_mean,0.16218908034175034,0.021759708130145997,200
qwen,gsm8k,basin_score_std,0.021754525819628875,0.7597849131885818,200
qwen,gsm8k,layer_transform_mean,0.07116310988454869,0.31665261783028714,200
qwen,gsm8k,layer_transform_std,0.07798106493706725,0.27238856761107205,200
qwen,gsm8k,layer_transform_max,0.08277969174460041,0.24387939258788513,200
qwen,humaneval,prompt_surprisal_mean,0.11889619833552459,0.12943037887522124,164
qwen,humaneval,prompt_surprisal_max,0.20863189819269426,0.00734192740466425,164
qwen,humaneval,prompt_surprisal_std,0.21402300563233115,0.005926360959581751,164
qwen,humaneval,prompt_surprisal_p90,0.17041273198921617,0.02913619794514371,164
qwen,humaneval,prompt_token_count,0.17534242767004274,0.024721244808772184,164
qwen,humaneval,basin_score_min,-0.054497496875668065,0.48825582298293263,164
qwen,humaneval,basin_score_mean,0.11763776248609023,0.13356535226922708,164
qwen,humaneval,basin_score_std,-0.02987280490847461,0.704155343064499,164
qwen,humaneval,layer_transform_mean,0.08341514670674476,0.2882736955624335,164
qwen,humaneval,layer_transform_std,-0.17708791345143313,0.02330210238226402,164
qwen,humaneval,layer_transform_max,-0.17242759721336487,0.02725651922213877,164
