dataset,signal,spearman_rho,p_value,n_prompts
gsm8k,prompt_surprisal_mean,0.11913510974245582,0.09290796113121544,200
gsm8k,prompt_surprisal_max,-0.014103762733845575,0.8428753057817547,200
gsm8k,prompt_surprisal_std,-0.09027501164538113,0.20363029603384883,200
gsm8k,prompt_surprisal_p90,-0.0028258580088806468,0.968321736615274,200
gsm8k,prompt_token_count,0.14214750536358292,0.04465644008706223,200
gsm8k,basin_score_min,-0.1333917188959977,0.05969450206132736,200
gsm8k,basin_score_mean,0.00414078688837839,0.9535950842096719,200
gsm8k,basin_score_std,0.08087901499188267,0.2549122692239041,200
gsm8k,layer_transform_mean,-0.04329577933670071,0.5426951757056949,200
gsm8k,layer_transform_std,-0.040267162448628525,0.5713095376061256,200
gsm8k,layer_transform_max,-0.024108781694686224,0.7347138161417205,200
humaneval,prompt_surprisal_mean,0.1670669340677853,0.03250157288242197,164
humaneval,prompt_surprisal_max,0.16935947589784178,0.030162026722567598,164
humaneval,prompt_surprisal_std,0.134216286937334,0.08663501089661903,164
humaneval,prompt_surprisal_p90,0.18501742716792324,0.01770308609363507,164
humaneval,prompt_token_count,0.18273545267093844,0.019180126160627423,164
humaneval,basin_score_min,-0.015055729692049453,0.8482564738758214,164
humaneval,basin_score_mean,0.10576606168474169,0.1776936950514584,164
humaneval,basin_score_std,0.020465996933952887,0.7947749200675437,164
humaneval,layer_transform_mean,0.06358794275288517,0.41856493203924855,164
humaneval,layer_transform_std,-0.11983592162743915,0.12640740074614115,164
humaneval,layer_transform_max,-0.15838509457174207,0.04280487673110024,164
