dataset,question_id,difficulty,category
gsm8k,gsm8k_0000,1.0,hardest
gsm8k,gsm8k_0138,1.0,hardest
gsm8k,gsm8k_0132,1.0,hardest
gsm8k,gsm8k_0088,1.0,hardest
gsm8k,gsm8k_0145,0.975,hardest
gsm8k,gsm8k_0151,0.975,hardest
gsm8k,gsm8k_0194,0.95,hardest
gsm8k,gsm8k_0033,0.95,hardest
gsm8k,gsm8k_0116,0.95,hardest
gsm8k,gsm8k_0093,0.925,hardest
gsm8k,gsm8k_0134,0.35,easiest
gsm8k,gsm8k_0004,0.32499999999999996,easiest
gsm8k,gsm8k_0144,0.32499999999999996,easiest
gsm8k,gsm8k_0109,0.30000000000000004,easiest
gsm8k,gsm8k_0112,0.30000000000000004,easiest
gsm8k,gsm8k_0105,0.275,easiest
gsm8k,gsm8k_0152,0.275,easiest
gsm8k,gsm8k_0136,0.275,easiest
gsm8k,gsm8k_0090,0.25,easiest
gsm8k,gsm8k_0082,0.17500000000000004,easiest
humaneval,he_0032,1.0,hardest
humaneval,he_0033,1.0,hardest
humaneval,he_0015,1.0,hardest
humaneval,he_0019,1.0,hardest
humaneval,he_0159,1.0,hardest
humaneval,he_0115,1.0,hardest
humaneval,he_0109,1.0,hardest
humaneval,he_0108,1.0,hardest
humaneval,he_0131,1.0,hardest
humaneval,he_0130,1.0,hardest
humaneval,he_0004,0.675,easiest
humaneval,he_0050,0.675,easiest
humaneval,he_0136,0.675,easiest
humaneval,he_0029,0.625,easiest
humaneval,he_0008,0.625,easiest
humaneval,he_0021,0.625,easiest
humaneval,he_0012,0.625,easiest
humaneval,he_0000,0.625,easiest
humaneval,he_0112,0.575,easiest
humaneval,he_0007,0.475,easiest
