signal,correct,format_failure,incorrect
focused_head_rate,0.6694939959657917,0.7245612664798337,0.7567804417714652
focused_head_mean_zscore,0.6694939959657917,0.7245612664798337,0.7567804417714652
focused_head_mean,0.6694939959657917,0.7245612664798337,0.7567804417714652
attn_entropy_norm_mean,0.6706153814085049,0.7145767943905954,0.7542770639142833
collapsed_rate_mean,0.6739046175885319,0.6993434809517786,0.7520827008923018
collapsed_rate_mean_zscore,0.6739046175885319,0.6993434809517786,0.7520827008923018
early25p_margin_mean,0.6081452701671897,0.7351086147218857,0.6974805415519978
early25p_entropy_mean,0.5892499858769479,0.7167654742125464,0.6713058808306915
early50p_margin_mean,0.6004913311648784,0.7120875743603545,0.6811660512289677
early25p_surprisal_mean,0.5766869645890524,0.6969162367272019,0.6510990788340856
early10_margin_mean,0.5553776202037888,0.6848674609191606,0.624744950010202
margin_slope,0.6305116532550539,0.635260497894945,0.6839280559965363
early50p_entropy_mean,0.5772775649501796,0.6818663037544603,0.6461934100059221
early10_entropy_mean,0.5407461382137768,0.6799476007297863,0.6078780587336581
entropy_slope,0.6196255744759139,0.6379161187184762,0.6736927754913135
attn_entropy_norm_std,0.6245718147381828,0.6200450131125523,0.672238057439746
entropy_range_approx,0.6181069309897828,0.6305095854497789,0.6694157115770301
early50p_surprisal_mean,0.5701266180712834,0.6665243204098213,0.6332101213789122
margin_mean,0.570417839937333,0.6638805853572396,0.6325413927471248
surprisal_slope,0.6094880929831542,0.6228364713183612,0.6577306896054066
