score_bin,mean_score,failure_rate,n,score_name,model
"(-0.001, 0.4]",0.3296512907967696,0.61759154397886,2649,risk_score,
"(0.4, 0.424]",0.4221611682028705,0.6152849740932642,772,risk_score,
"(0.424, 0.433]",0.428467021332868,0.6254385964912281,1140,risk_score,
"(0.433, 0.45]",0.4397897524564407,0.6503067484662577,1141,risk_score,
"(0.45, 0.723]",0.5316131771637489,0.7692982456140351,1140,risk_score,
"(0.723, 1.0]",0.9898922659268,0.7754878316158738,4561,risk_score,
"(-0.001, 0.4]",0.3450776210546233,0.4964811260396673,1563,risk_score,llama
"(0.4, 0.424]",0.42216816981135674,0.4630541871921182,406,risk_score,llama
"(0.424, 0.437]",0.4300710286021956,0.39634146341463417,656,risk_score,llama
"(0.437, 1.0]",0.49605382732060055,0.43292682926829273,656,risk_score,llama
"(0.699, 1.0]",0.99062163724458,0.8072892938496583,2195,risk_score,mistral7b
"(0.699, 1.0]",0.9858881926781226,0.7468460891505466,2378,risk_score,mixtral
"(-0.001, 0.4]",0.30744930719361546,0.7918968692449355,1086,risk_score,qwen
"(0.4, 0.424]",0.42195901725140644,0.7844311377245509,334,risk_score,qwen
"(0.424, 0.433]",0.42850199178893195,0.7870239774330042,709,risk_score,qwen
"(0.433, 0.453]",0.4407866231710372,0.8408450704225352,710,risk_score,qwen
"(0.453, 0.875]",0.537469092708084,0.9112676056338028,710,risk_score,qwen
"(-0.001, 0.5]",0.15063154651879235,0.6621996303142329,6492,failure_risk,
"(0.5, 0.6]",0.6,0.7745486569793043,4542,failure_risk,
"(0.6, 0.9]",0.7070460704607046,0.4417344173441734,369,failure_risk,
"(-0.001, 0.5]",0.11003924133420537,0.47972531066056245,3058,failure_risk,llama
"(0.5, 0.9]",0.7062780269058296,0.18385650224215244,223,failure_risk,llama
"(0.599, 0.9]",0.6013877207737595,0.7468460891505466,2378,failure_risk,mixtral
"(-0.001, 0.5]",0.1867792661619103,0.8246942341292953,3434,failure_risk,qwen
"(0.5, 0.7]",0.7,0.8,115,failure_risk,qwen
