model,dataset,signal,pp_temp_0.7,pp_temp_0.8,pp_delta,pp_abs_delta
llama,gsm8k,entropy_mean,0.6398094957529337,0.6515787051785777,0.011769209425644078,0.011769209425644078
llama,gsm8k,surprisal_mean,0.6349781509304266,0.6493221478885702,0.01434399695814359,0.01434399695814359
llama,gsm8k,margin_mean,0.6276918544704669,0.6343669250645995,0.006675070594132526,0.006675070594132526
llama,gsm8k,risk_score,0.5563411400795404,0.5738557927153021,0.017514652635761685,0.017514652635761685
llama,gsm8k,l2_norm_slope,0.5233858692983748,0.5008495274503557,-0.022536341848019115,0.022536341848019115
llama,gsm8k,compound_density_per_100t,0.5613443315166691,0.5551971611624369,-0.006147170354232179,0.006147170354232179
llama,gsm8k,early10_surprisal_mean,0.5397309373005352,0.6055493610845634,0.06581842378402813,0.06581842378402813
llama,gsm8k,early10_entropy_mean,0.5436588599204595,0.6070670064776469,0.0634081465571874,0.0634081465571874
llama,gsm8k,concentration_min_mean,0.5186036235086169,0.5576351279600722,0.03903150445145531,0.03903150445145531
llama,gsm8k,focused_head_rate,0.516777139490352,0.5173091218009982,0.0005319823106462174,0.0005319823106462174
llama,humaneval,entropy_mean,0.521171702284451,0.5100377570397299,-0.01113394524472111,0.01113394524472111
llama,humaneval,surprisal_mean,0.5224170965364776,0.5083826539282839,-0.014034442608193753,0.014034442608193753
llama,humaneval,margin_mean,0.5105895357406043,0.502774514367625,-0.007815021372979292,0.007815021372979292
llama,humaneval,risk_score,0.5267464996315401,0.5030663740680809,-0.02368012556345922,0.02368012556345922
llama,humaneval,l2_norm_slope,0.565711127487104,0.5607474563872942,-0.004963671099809774,0.004963671099809774
llama,humaneval,compound_density_per_100t,0.5034708916728077,0.5080649332417115,0.004594041568903862,0.004594041568903862
llama,humaneval,early10_surprisal_mean,0.5371039056742815,0.5970932251605228,0.05998931948624131,0.05998931948624131
llama,humaneval,early10_entropy_mean,0.530445836403832,0.5977286665336673,0.06728283012983527,0.06728283012983527
llama,humaneval,concentration_min_mean,0.536617538688283,0.5279040040195361,-0.008713534668746914,0.008713534668746914
llama,humaneval,focused_head_rate,0.5994436256448048,0.53643812943793,-0.06300549620687479,0.06300549620687479
mistral7b,gsm8k,entropy_mean,0.6662633595482961,0.6340653153153153,-0.03219804423298078,0.03219804423298078
mistral7b,gsm8k,surprisal_mean,0.6615245009074411,0.6110360360360361,-0.050488464871405014,0.050488464871405014
mistral7b,gsm8k,margin_mean,0.6575922565033274,0.6381756756756758,-0.01941658082765163,0.01941658082765163
mistral7b,gsm8k,risk_score,0.5046884452510587,0.5157376126126126,0.011049167361553924,0.011049167361553924
mistral7b,gsm8k,l2_norm_slope,0.509628957451099,0.596677927927928,0.08704897047682891,0.08704897047682891
mistral7b,gsm8k,compound_density_per_100t,0.6011292599314377,0.6601351351351351,0.05900587520369738,0.05900587520369738
mistral7b,gsm8k,early10_surprisal_mean,0.6074813470457754,0.5415259009009009,-0.06595544614487447,0.06595544614487447
mistral7b,gsm8k,early10_entropy_mean,0.6214206493244606,0.5789132882882884,-0.04250736103617225,0.04250736103617225
mistral7b,gsm8k,concentration_min_mean,0.5925085702762654,0.6597409909909909,0.06723242071472557,0.06723242071472557
mistral7b,gsm8k,focused_head_rate,0.5383645896350071,0.5824887387387387,0.044124149103731636,0.044124149103731636
mistral7b,humaneval,entropy_mean,0.5333068436798803,0.5365392918825562,0.003232448202675875,0.003232448202675875
mistral7b,humaneval,surprisal_mean,0.5333535901271503,0.5767756908462868,0.043422100719136436,0.043422100719136436
mistral7b,humaneval,margin_mean,0.5131357516828721,0.5445272020725388,0.03139145038966673,0.03139145038966673
mistral7b,humaneval,risk_score,0.5032956245325355,0.506503670120898,0.003208045588362518,0.003208045588362518
mistral7b,humaneval,l2_norm_slope,0.59384349289454,0.6111830742659758,0.017339581371435875,0.017339581371435875
mistral7b,humaneval,compound_density_per_100t,0.6074233358264771,0.5834547711571675,-0.023968564669309633,0.023968564669309633
mistral7b,humaneval,early10_surprisal_mean,0.722407909498878,0.6743307426597582,-0.04807716683911978,0.04807716683911978
mistral7b,humaneval,early10_entropy_mean,0.5092207367240089,0.5152741796200346,0.006053442896025718,0.006053442896025718
mistral7b,humaneval,concentration_min_mean,0.5420016828721017,0.5985805267702935,0.05657884389819179,0.05657884389819179
mistral7b,humaneval,focused_head_rate,0.5151692221391174,0.540182426597582,0.025013204458464555,0.025013204458464555
mixtral,gsm8k,entropy_mean,0.63996138996139,0.65826899634295,0.018307606381560038,0.018307606381560038
mixtral,gsm8k,surprisal_mean,0.6284116628944215,0.6533252065556008,0.02491354366117926,0.02491354366117926
mixtral,gsm8k,margin_mean,0.6286113699906803,0.6489909250981986,0.02037955510751821,0.02037955510751821
mixtral,gsm8k,risk_score,0.5005991212887765,0.5261411350399566,0.025542013751180148,0.025542013751180148
mixtral,gsm8k,l2_norm_slope,0.5337837837837838,0.5176418799945821,-0.01614190378920166,0.01614190378920166
mixtral,gsm8k,compound_density_per_100t,0.5560511250166422,0.6128098334010565,0.056758708384414325,0.056758708384414325
mixtral,gsm8k,early10_surprisal_mean,0.5210191718812409,0.5825206555600704,0.06150148367882946,0.06150148367882946
mixtral,gsm8k,early10_entropy_mean,0.5254792970310211,0.5717018827035081,0.04622258567248694,0.04622258567248694
mixtral,gsm8k,concentration_min_mean,0.6075089868193317,0.5945076527156983,-0.013001334103633466,0.013001334103633466
mixtral,gsm8k,focused_head_rate,0.5938956197576888,0.566571854259786,-0.02732376549790283,0.02732376549790283
mixtral,humaneval,entropy_mean,0.5911111111111111,0.6085602215043839,0.017449110393272793,0.017449110393272793
mixtral,humaneval,surprisal_mean,0.6029048656499637,0.6312874942316568,0.028382628581693048,0.028382628581693048
mixtral,humaneval,margin_mean,0.6070297748729121,0.5831218274111676,-0.023907947461744516,0.023907947461744516
mixtral,humaneval,risk_score,0.532563543936093,0.5006922011998154,-0.031871342736277564,0.031871342736277564
mixtral,humaneval,l2_norm_slope,0.5774291938997822,0.5577988001845869,-0.01963039371519526,0.01963039371519526
mixtral,humaneval,compound_density_per_100t,0.5175018155410313,0.5193239501615136,0.0018221346204823075,0.0018221346204823075
mixtral,humaneval,early10_surprisal_mean,0.801525054466231,0.7990886017535764,-0.00243645271265458,0.00243645271265458
mixtral,humaneval,early10_entropy_mean,0.7240522875816993,0.7903784033225658,0.06632611574086655,0.06632611574086655
mixtral,humaneval,concentration_min_mean,0.5072476397966594,0.6031379787724965,0.0958903389758371,0.0958903389758371
mixtral,humaneval,focused_head_rate,0.5033260711692084,0.64865020766036,0.1453241364911516,0.1453241364911516
qwen,gsm8k,entropy_mean,0.5425591346725307,0.5559721220860371,0.013412987413506383,0.013412987413506383
qwen,gsm8k,surprisal_mean,0.5420004754546535,0.5693583273251622,0.027357851870508765,0.027357851870508765
qwen,gsm8k,margin_mean,0.5216331867348152,0.5356404710406153,0.014007284305800116,0.014007284305800116
qwen,gsm8k,risk_score,0.5329638654463331,0.5426099495313627,0.009646084085029538,0.009646084085029538
qwen,gsm8k,l2_norm_slope,0.5580767859265423,0.5577625570776256,-0.0003142288489167422,0.0003142288489167422
qwen,gsm8k,compound_density_per_100t,0.6095477237608462,0.608988223984619,-0.000559499776227157,0.000559499776227157
qwen,gsm8k,early10_surprisal_mean,0.5131671223107096,0.5016161980293199,-0.011550924281389707,0.011550924281389707
qwen,gsm8k,early10_entropy_mean,0.5073190300725068,0.5047614756068253,-0.002557554465681511,0.002557554465681511
qwen,gsm8k,concentration_min_mean,0.619505527160347,0.6092225426580149,-0.010282984502332115,0.010282984502332115
qwen,gsm8k,focused_head_rate,0.6132414121003209,0.6271719538572458,0.013930541756924875,0.013930541756924875
qwen,humaneval,entropy_mean,0.7193651920545474,0.7239043594048515,0.00453916735030413,0.00453916735030413
qwen,humaneval,surprisal_mean,0.7273816390823978,0.7289990158050137,0.0016173767226158597,0.0016173767226158597
qwen,humaneval,margin_mean,0.7019419916877431,0.7154518612864008,0.013509869598657742,0.013509869598657742
qwen,humaneval,risk_score,0.643179364304625,0.5819583550435168,-0.061221009261108184,0.061221009261108184
qwen,humaneval,l2_norm_slope,0.8761592048631139,0.856249638163608,-0.019909566699505943,0.019909566699505943
qwen,humaneval,compound_density_per_100t,0.8937081244176244,0.8919604778170169,-0.0017476466006074443,0.0017476466006074443
qwen,humaneval,early10_surprisal_mean,0.6643963260416205,0.6752253034601208,0.010828977418500307,0.010828977418500307
qwen,humaneval,early10_entropy_mean,0.6934966203724247,0.719880738725178,0.02638411835275334,0.02638411835275334
qwen,humaneval,concentration_min_mean,0.8558814394107469,0.8496304444315791,-0.006250994979167812,0.006250994979167812
qwen,humaneval,focused_head_rate,0.7746224726745647,0.79005770084332,0.01543522816875531,0.01543522816875531
